#,单词,音标,解释,笔记
203,"concoct","英:/kən'kɒkt/ 美:/kən'kɑkt/","该版本不支持扩展词库。购买专业版",
204,"concur","英:/kən'kɜː/ 美:/kən'kɝ/","该版本不支持扩展词库。购买专业版",
205,"condone","英:/kən'dəʊn/ 美:/kən'don/","该版本不支持扩展词库。购买专业版",
206,"conducive","英:/kən'djuːsɪv/ 美:/kən'dusɪv/","adj. 导致…的, 有助于…的",
207,"conduct","英:/'kɒndʌkt/ 美:/kən'dʌkt/","该版本不支持扩展词库。购买专业版",
208,"conductor","英:/kən'dʌktə/ 美:/kən'dʌktɚ/","- n. (乐队)指挥
- 售票员, 列车长
- 〈电〉导体",
209,"confidential","英:/kɒnfɪ'denʃ(ə)l/ 美:/ˌkɑnfɪ'dɛnʃl/","- adj. 秘密的, 机密的
- 表示信任或亲密的
- 担任机密工作的

名 词:  
confidentiality

副 词:  
confidentially",
210,"configurations","","Free Dictionary在线词典
韦氏在线词典
必应在线词典
柯林斯在线词典
Urban Dictionary
剑桥词典
Dictionary.com在线词典
朗文当代英语在线词典
Ox Living Dict


点击管理在线词典",
211,"confine","英:/kən'faɪn/ 美:/kən'faɪn/","该版本不支持扩展词库。购买专业版",
212,"conflict","英:/'kɒnflɪkt/ 美:/'kɑnflɪkt/","该版本不支持扩展词库。购买专业版",
213,"conicoid","/'kɔnikɔid/","n. 二次曲面",
214,"connectivity","英:/ˌkɔnek'tivəti/ 美:/ˌkɑnɛkˈtɪvɪti/","n. 连通性",
215,"conquistador","英:/kɒn'kwɪstədɔː/ 美:/kɑn'kwɪstədɔr/","该版本不支持扩展词库。购买专业版",
216,"consecrate","英:/'kɒnsɪkreɪt/ 美:/ˈkɑnsɪˌkret/","- vt. 把…奉为神圣；给…祝圣
- 奉献

时 态:  
consecrated，consecrating，consecrates 

形容词:  
consecratory",
217,"consecrated","/'kənsə,kreitid/","adj. 神圣的,被视为神圣的",
218,"consensus","英:/kən'sensəs/ 美:/kən'sɛnsəs/","n. (意见等)一致, 一致同意",
219,"consequence","英:/'kɒnsɪkw(ə)ns/ 美:/'kɑnsəkwɛns/","- n. 结果, 后果
- 重要(性), 重大",
220,"conservation","英:/kɒnsə'veɪʃ(ə)n/ 美:/ˌkɑnsɚ'veʃən/","- n. 保存, 保护, 避免浪费
- 对自然环境的保护",
221,"constellation","英:/ˌkɒnstə'leɪʃ(ə)n/ 美:/ˌkɑnstə'leʃən/","- n. 星座
- 一群杰出人物",
222,"constructionist","英:/kən'strʌkʃ(ə)nɪst/ 美:/kən'strʌkʃənɪst/","n. 法令解释者,美国宪法解释者",
223,"contagious","英:/kən'teɪdʒəs/ 美:/kən'tedʒəs/","- adj. (病)有传染性的
- (人)患传染病的
- 有感染力的

副 词:  
contagiously",
224,"container","英:/kən'teɪnə/ 美:/kən'tenɚ/","- n. 容器
- 集装箱, 货柜",
225,"contemporary","英:/kən'temp(ə)r(ər)ɪ/ 美:/kən'tɛmpərɛri/","- adj. 当代的
- 同时代的, 同属一个时期的
- n. 同代人, 同龄人",
226,"contentedly","英:/kən'tentidli/ 美:/kənˈt ɛntɪdlɪ/","adv. 满足地;安心地",
227,"contrary","英:/'kɒntrərɪ/ 美:/'kɑntrɛri/","该版本不支持扩展词库。购买专业版",
228,"controversial","英:/kɒntrə'vɜːʃ(ə)l/ 美:/ˌkɑntrə'vɝʃl/","adj. 有争议的, 引起争议的

名 词:  
controversialist

名 词:  
controversiality",
229,"converse","英:/kən'vɜːs/ 美:/kən'vɝs/","该版本不支持扩展词库。购买专业版",
230,"cordially","英:/ˌkɔ:djəli/ 美:/ˈk ɔrd ʒəlɪ/","adv. 热诚地,诚挚地,友善地",
231,"corporate","英:/'kɔːp(ə)rət/ 美:/'kɔrpərət/","adj. 社团的, 法人的

副 词:  
corporately",
232,"corruption","英:/kə'rʌpʃ(ə)n/ 美:/kə'rʌpʃən/","- n. 堕落;腐化;腐败;贿赂
- 腐烂",
233,"couch potato","","该版本不支持扩展词库。购买专业版",
234,"council","英:/'kaʊns(ə)l/ 美:/'kaʊnsl/","该版本不支持扩展词库。购买专业版",
235,"councilman","英:/'kaʊns(ə)lmən/ 美:/'kaʊnslmən/","n. 议员,市议会议员",
236,"counterintuitive","英:/ˌkaʊntərɪn'tjuːɪtɪv/ 美:/ˌkaʊntərɪn'tʊɪtɪv/","adj. 违反直觉的",
237,"counterproductive","英:/ˌkaʊntəprə'dʌktɪv/ 美:/ˌkaʊntɚprə'dʌktɪv/","adj. 反生产的,使达不到预期目标的",
238,"court","英:/kɔːt/ 美:/kɔrt/","该版本不支持扩展词库。购买专业版",
239,"cradle","英:/'kreɪd(ə)l/ 美:/'kredl/","该版本不支持扩展词库。购买专业版",
240,"crater","英:/'kreɪtə/ 美:/ˈkreɪtər/","该版本不支持扩展词库。购买专业版",
241,"credence","英:/'kriːd(ə)ns/ 美:/'kridns/","该版本不支持扩展词库。购买专业版",
242,"credentials","/krə'dɛnʃlz/","- n. 资格证书; 国书
- (任何证明人的能力、资格等的)证书; 资格",
243,"crew","英:/kruː/ 美:/krʊ/","该版本不支持扩展词库。购买专业版",
244,"crook","英:/krʊk/ 美:/krʊk/","该版本不支持扩展词库。购买专业版",
245,"cross-section","英:/'krɔs,sekʃən/ 美:/ˈkrɔsˈsɛkʃən/","- n. 横断面
- 横截面图",
246,"crown","英:/kraʊn/ 美:/kraʊn/","该版本不支持扩展词库。购买专业版",
247,"cruel","英:/krʊəl/ 美:/'kruəl/","该版本不支持扩展词库。购买专业版",
248,"cruise","英:/kruːz/ 美:/krʊz/","该版本不支持扩展词库。购买专业版",
249,"crust","英:/krʌst/ 美:/krʌst/","该版本不支持扩展词库。购买专业版",
250,"cry","英:/kraɪ/ 美:/kraɪ/","该版本不支持扩展词库。购买专业版",
251,"crystalline","英:/'krɪst(ə)laɪn/ 美:/'krɪstə'laɪn/","- adj. 水晶的；似水晶的；结晶质的
- n. 结晶性，结晶度

名 词:  
crystallinity",
252,"cues","/kju:z/","n. 开端，线索；球杆；提示，关键；诱因（cue的复数形式）",
253,"culling","/'kʌliŋ/","n. 选择；大批物品中剔出劣质货",
254,"culture","英:/'kʌltʃə/ 美:/'kʌltʃɚ/","该版本不支持扩展词库。购买专业版",
255,"cumbersome","英:/'kʌmbəs(ə)m/ 美:/ˈkʌmbəsəm/","adj. 沉重的, 笨重的, 转动不灵的",
256,"curb","英:/kɜːb/ 美:/kɝb/","该版本不支持扩展词库。购买专业版",
257,"curmudgeon","英:/kɜː'mʌdʒ(ə)n/ 美:/kɝ'mʌdʒən/","n. 坏脾气的人,吝啬鬼,守财奴

形容词:  
curmudgeonly",
258,"cusp","英:/kʌsp/ 美:/kʌsp/","该版本不支持扩展词库。购买专业版",
259,"damp","英:/dæmp/ 美:/dæmp/","该版本不支持扩展词库。购买专业版",
260,"dangle","英:/'dæŋg(ə)l/ 美:/'dæŋɡl/","该版本不支持扩展词库。购买专业版",
261,"daring","英:/'dεəriŋ/ 美:/ˈdɛrɪŋ/","该版本不支持扩展词库。购买专业版",
262,"dart","英:/dɑːt/ 美:/dɑrt/","该版本不支持扩展词库。购买专业版",
263,"deaf","英:/def/ 美:/dɛf/","该版本不支持扩展词库。购买专业版",
264,"dealer","英:/'diːlə/ 美:/'dilɚ/","该版本不支持扩展词库。购买专业版",
265,"debt","英:/det/ 美:/dɛt/","该版本不支持扩展词库。购买专业版",
266,"deceive","英:/dɪ'siːv/ 美:/dɪ'siv/","该版本不支持扩展词库。购买专业版",
267,"decimate","英:/'desɪmeɪt/ 美:/'dɛsə,met/","该版本不支持扩展词库。购买专业版",
268,"decisive","英:/dɪ'saɪsɪv/ 美:/dɪ'saɪsɪv/","该版本不支持扩展词库。购买专业版",
269,"dedicate","英:/'dedɪkeɪt/ 美:/'dɛdɪket/","该版本不支持扩展词库。购买专业版",
270,"dedicated","英:/ˈdedɪˌkeɪtɪd/ 美:/'dɛdə'ketɪd/","- adj. 专注的;献身的
- 专用的",
271,"dedicated to","","参考翻译 [复制] [查看]
正在获取,请稍候...









Free Dictionary在线词典
韦氏在线词典
必应在线词典
柯林斯在线词典
Urban Dictionary
剑桥词典
Dictionary.com在线词典
朗文当代英语在线词典
Ox Living Dict


点击管理在线词典",
272,"default","英:/dɪ'fɔːlt/ 美:/dɪ'fɔlt/","该版本不支持扩展词库。购买专业版",
273,"deliberate","英:/dɪ'lɪb(ə)rət/ 美:/dɪ'lɪbərət/","- adj. 故意的, 蓄意的
- 慎重的, 深思熟虑的
- 不慌不忙的, 从容不迫的
- vt. & vi. 仔细考虑
- 研讨, 商讨

时 态:  
deliberated, deliberating, deliberates  

副 词:  
deliberately",
274,"deliberation","英:/dɪ,lɪbə'reɪʃ(ə)n/ 美:/dɪ,lɪbə'reʃən/","该版本不支持扩展词库。购买专业版",
275,"delinquent","英:/dɪ'lɪŋkw(ə)nt/ 美:/dɪ'lɪŋkwənt/","- adj. 违法的；有过失的
- (债务、账目等)拖欠的，到期未付的
- n. (尤指青少年)有过失的人，违法的人",
276,"delve","英:/delv/ 美:/dɛlv/","该版本不支持扩展词库。购买专业版",
277,"demeanor","英:/di'mi:nə/ 美:/dɪˈminɚ/","该版本不支持扩展词库。购买专业版",
278,"demon","英:/'diːmən/ 美:/'dimən/","该版本不支持扩展词库。购买专业版",
279,"demystify","英:/diː'mɪstɪfaɪ/ 美:/ˌdi'mɪstɪfaɪ/","vt. 使非神秘化

时 态:  
demystified, demystifying, demystifies 

名 词:  
demystification",
280,"dense","英:/dens/ 美:/dɛns/","该版本不支持扩展词库。购买专业版",
281,"departure","英:/dɪ'pɑːtʃə/ 美:/dɪ'pɑrtʃɚ/","n. 离开, 离去",
282,"dependable","英:/dɪ'pendəb(ə)l/ 美:/dɪ'pɛndəbl/","adj. 可信赖的,可靠的

副 词:  
dependably",
283,"deposit","英:/dɪ'pɒzɪt/ 美:/dɪ'pɑzɪt/","该版本不支持扩展词库。购买专业版",
284,"deputy","英:/'depjʊtɪ/ 美:/'dɛpjuti/","该版本不支持扩展词库。购买专业版",
285,"description","英:/dɪ'skrɪpʃ(ə)n/ 美:/dɪ'skrɪpʃən/","- n. 描述, 形容
- 种类, 类型",
286,"desperately","英:/'despərətli/ 美:/ˈd ɛspərɪtlɪ/","- adv. 绝望地；不顾一切地，拼命地
- 极度地；猛烈地",
287,"despondent","英:/dɪ'spɒnd(ə)nt/ 美:/dɪ'spɑndənt/","adj. 沮丧的,泄气的

副 词:  
despondently",
288,"destruction","英:/dɪ'strʌkʃ(ə)n/ 美:/dɪ'strʌkʃən/","n. 破坏, 毁灭, 消灭",
289,"deteriorate","英:/dɪ'tɪərɪəreɪt/ 美:/dɪ'tɪrɪəret/","vi. 恶化, 变坏

时 态:  
deteriorated, deteriorating, deteriorates 

名 词:  
deterioration

形容词:  
deteriorative",
290,"devise","英:/dɪ'vaɪz/ 美:/dɪ'vaɪz/","该版本不支持扩展词库。购买专业版",
291,"dial","英:/ˈdaiəl/ 美:/'daɪəl/","该版本不支持扩展词库。购买专业版",
292,"dichotomic","/ˌdaikə'tɔmik/","adj. 分成两个的,叉状分枝的",
293,"difference","英:/'dɪf(ə)r(ə)ns/ 美:/'dɪfrəns/","该版本不支持扩展词库。购买专业版",
294,"dignity","英:/'dɪgnɪtɪ/ 美:/'dɪɡnəti/","该版本不支持扩展词库。购买专业版",
295,"dilute","英:/daɪ'l(j)uːt/ 美:/dɪ'ljʊt/","该版本不支持扩展词库。购买专业版",
296,"diphthong","英:/'dɪfθɒŋ/ 美:/'dɪfθɑŋ/","n. 双元音

形容词:  
diphthongal",
297,"discernible","英:/dɪˈsɜ:nəbəl/ 美:/dɪ'zɝnəbl/","adj. 可识别的",
298,"discipline","英:/'dɪsɪplɪn/ 美:/'dɪsəplɪn/","- vt. 训练, 训导
- 处罚, 惩罚
- n. 训练, 锻炼, 训导
- 纪律
- 处罚, 处分
- 学科

时 态:  
disciplined, disciplining, disciplines 

形容词:  
disciplinal",
299,"disconnecting","/ˌdiskə'nektiŋ/","n. 拆开,解脱,分离",
300,"discourse","英:/'dɪskɔːs/ 美:/ˈdɪskɔrs /","- n. 论文；演说；讲道
- vi. 讲述，著述

时 态:  
discoursed，discoursing，discourses",
301,"discrete","英:/dɪ'skriːt/ 美:/dɪ'skrit/","该版本不支持扩展词库。购买专业版",
302,"dislike","英:/dɪs'laɪk/ 美:/dɪs'laɪk/","该版本不支持扩展词库。购买专业版",
303,"disorderly conduct","","该版本不支持扩展词库。购买专业版",
304,"disparage","英:/dɪ'spærɪdʒ/ 美:/dɪ'spærɪdʒ/","vt. 轻视，贬低；批评，非难

时 态:  
disparaged，disparaging，disparages 

名 词:  
disparagement

名 词:  
disparager

副 词:  
disparagingly",
305,"disparity","英:/dɪ'spærɪtɪ/ 美:/dɪ'spærəti/","n. 不同，不等；不一致；悬殊",
306,"displace","英:/dɪs'pleɪs/ 美:/dɪs'ples/","该版本不支持扩展词库。购买专业版",
307,"disproportionate","英:/ˌdɪsprə'pɔːʃ(ə)nət/ 美:/ˌdɪsprəˈpɔrʃənɪt/","adj. 不相称的, 不成比例的, 不均匀的

副 词:  
disproportionately",
308,"disreputable","英:/dɪs'repjʊtəb(ə)l/ 美:/dɪs'rɛpjətəbl/","adj. 名誉不好的;不体面的",
309,"dissuade","英:/dɪ'sweɪd/ 美:/dɪ'swed/","该版本不支持扩展词库。购买专业版",
310,"distort","英:/dɪ'stɔːt/ 美:/dɪ'stɔrt/","该版本不支持扩展词库。购买专业版",
311,"distract","英:/dɪ'strækt/ 美:/dɪ'strækt/","该版本不支持扩展词库。购买专业版",
312,"district","英:/'dɪstrɪkt/ 美:/'dɪstrɪkt/","该版本不支持扩展词库。购买专业版",
313,"disturb","英:/dɪ'stɜːb/ 美:/dɪ'stɝb/","该版本不支持扩展词库。购买专业版",
314,"disturbance","英:/dɪ'stɜːb(ə)ns/ 美:/dɪ'stɝbəns/","- n. 打扰, 扰乱
- 骚乱, 纷乱
- 困扰",
315,"diverter","/dai'və:tə/","n. 分[析]流器,分流调节器,分流电阻,转向器,翻转器,(推力)换向器",
316,"document","英:/'dɒkjʊm(ə)nt/ 美:/ˈdɑkjəmənt/","该版本不支持扩展词库。购买专业版",
317,"doomsday","英:/'duːmzdeɪ/ 美:/'dumzde/","该版本不支持扩展词库。购买专业版",
318,"dose","英:/dəʊs/ 美:/dos/","该版本不支持扩展词库。购买专业版",
319,"draft","英:/drɑːft/ 美:/dræft/","该版本不支持扩展词库。购买专业版",
320,"drag","英:/dræg/ 美:/dræɡ/","该版本不支持扩展词库。购买专业版",
321,"drama","英:/'drɑːmə/ 美:/'drɑmə/","该版本不支持扩展词库。购买专业版",
322,"drapery","英:/'dreɪp(ə)rɪ/ 美:/'drepəri/","该版本不支持扩展词库。购买专业版",
323,"drawer","英:/drɔː/ 美:/drɔr/","该版本不支持扩展词库。购买专业版",
324,"drawn-out","/'drɔ:n'aut/","adj. 延长的,持续很久的",
325,"dreamy","英:/'driːmɪ/ 美:/'drimi/","该版本不支持扩展词库。购买专业版",
326,"dressing gown","","该版本不支持扩展词库。购买专业版",
327,"dribbling","/'dribliŋ/","n. (燃料或油从系统内)漏泄",
328,"drift apart","","Free Dictionary在线词典
韦氏在线词典
必应在线词典
柯林斯在线词典
Urban Dictionary
剑桥词典
Dictionary.com在线词典
朗文当代英语在线词典
Ox Living Dict


点击管理在线词典",
329,"dull","英:/dʌl/ 美:/dʌl/","该版本不支持扩展词库。购买专业版",
330,"dumped","","v. 扔掉；（为逃跑而）急忙放下；推卸；（非正式）抛弃（某人）；（非正式）抛售；卸出（数据）；（向国外）倾销；乱放；与（某人）结束恋爱关系；（内存信息）转储（dump 的过去式及过去分词）",
331,"dustman","英:/'dʌs(t)mən/ 美:/'dʌstmən/","该版本不支持扩展词库。购买专业版",
332,"dwelling","英:/'dwelɪŋ/ 美:/'dwɛlɪŋ/","该版本不支持扩展词库。购买专业版",
333,"dynasty","英:/'dɪnəstɪ/ 美:/'daɪnəsti/","该版本不支持扩展词库。购买专业版",
334,"earnest","英:/'ɜːnɪst/ 美:/ˈɚnɪst/","该版本不支持扩展词库。购买专业版",
335,"eavesdropper","/'i:vz,drɔpə/","n. 偷听者",
336,"eavesdropping","/'ivz,drɑpɪŋ/","n. 偷听",
337,"echo","英:/ˈekəu/ 美:/ˈɛko/","该版本不支持扩展词库。购买专业版",
338,"eddy","英:/'edɪ/ 美:/'ɛdi/","该版本不支持扩展词库。购买专业版",
339,"egalitarian","英:/ɪ,gælɪ'teərɪən/ 美:/ɪ'gælə'tɛrɪən/","- adj. 主张平等的,平等主义的
- n. 平等主义

名 词:  
egalitarian

名 词:  
egalitarianism",
340,"Egypt","英:/ˈi:dʒɪpt/ 美:/ˈidʒɪpt/","该版本不支持扩展词库。购买专业版",
341,"eigenstate","/'aiɡən,steit/","特性态;特征态;本征态;能态",
342,"elaborate","英:/ɪ'læb(ə)rət/ 美:/ɪ'læbəret/","- vi. 详尽说明
- vt. 详细制定
- adj. 复杂的；精心制作的

时 态:  
elaborated，elaborating，elaborates  

副 词:  
elaborately

名 词:  
elaboration

名 词:  
elaborator",
343,"elbow","英:/'elbəʊ/ 美:/'ɛlbo/","该版本不支持扩展词库。购买专业版",
344,"electoral","英:/ɪ'lekt(ə)r(ə)l/ 美:/ɪ'lɛktərəl/","adj. 选举的;选举人的",
345,"eliminate","英:/ɪ'lɪmɪneɪt/ 美:/ɪ'lɪmɪnet/","- vt. 消除, 排除
- 忽略
- 淘汰
- 〈口〉干掉

时 态:  
eliminated, eliminating, eliminates 

名 词:  
elimination

名 词:  
eliminator",
346,"emanate","英:/'eməneɪt/ 美:/ˈɛməˌnet/","该版本不支持扩展词库。购买专业版",
347,"ember","英:/'embə/ 美:/'ɛmbɚ/","该版本不支持扩展词库。购买专业版",
348,"embodiment","英:/ɪm'bɒdɪmənt/ 美:/ɪm'bɑdɪmənt/","n. 体现;化身",
349,"emcee","英:/em'siː/ 美:/ɛm'si/","该版本不支持扩展词库。购买专业版",
350,"empathy","英:/'empəθɪ/ 美:/'ɛmpəθi/","该版本不支持扩展词库。购买专业版",
351,"emperor","英:/'emp(ə)rə/ 美:/'ɛmpərɚ/","该版本不支持扩展词库。购买专业版",
352,"enact","英:/ɪ'nækt/ 美:/ɪ'nækt/","该版本不支持扩展词库。购买专业版",
353,"endeavour","英:/in'devə/ 美:/ɛnˈdɛvɚ/","n. 〈英〉尽力,竭力",
354,"energize","英:/'enədʒaɪz/ 美:/'ɛnɚdʒaɪz/","该版本不支持扩展词库。购买专业版",
355,"engraver","/ɪn'ɡrevɚ/","该版本不支持扩展词库。购买专业版",
356,"enterprising","英:/'entəpraɪzɪŋ/ 美:/'ɛntɚpraɪzɪŋ/","adj.  有事业心的；有进取心的；有魄力的；有胆量的",
357,"enumerate","英:/ɪ'njuːməreɪt/ 美:/ɪ'numəret/","vt. 列举，枚举；数

时 态:  
enumerated，enumerating，enumerates 

名 词:  
enumeration

形容词:  
enumerative

名 词:  
enumerator",
358,"envelope","英:/'envələʊp/ 美:/ˈɛnvəˌlop/","该版本不支持扩展词库。购买专业版",
359,"enzyme","英:/'enzaɪm/ 美:/'ɛnzaɪm/","该版本不支持扩展词库。购买专业版",
360,"epicenter","英:/ˈepɪˌsentə/ 美:/'ɛpɪ,sɛntɚ/","n. 震中，中心；集中点

形容词:  
epicentral",
361,"episode","英:/'epɪsəʊd/ 美:/'ɛpɪsod/","该版本不支持扩展词库。购买专业版",
362,"epitaxy","英:/'epɪtæksɪ/ 美:/'ɛpɪ,tæksi/","该版本不支持扩展词库。购买专业版",
363,"equalised","","Free Dictionary在线词典
韦氏在线词典
必应在线词典
柯林斯在线词典
Urban Dictionary
剑桥词典
Dictionary.com在线词典
朗文当代英语在线词典
Ox Living Dict


点击管理在线词典",
364,"equatorial","英:/ˌekwə'tɔːrɪəl/ 美:/ˌɛkwə'tɔrɪəl/","- adj. 赤道的,赤道附近的
- adv. 赤道地",
365,"equilibrium","英:/ˌiːkwɪ'lɪbrɪəm/ 美:/ˌikwɪ'lɪbrɪəm/","- n. 平衡,均势
- (心情、感情等)平静",
366,"equivocal","英:/ɪ'kwɪvək(ə)l/ 美:/ɪ'kwɪvəkl/","- adj. 模棱两可的,意义不明的
- 模糊的,含糊的,不定的
-  (指人等)不可靠的

名 词:  
equivocality

副 词:  
equivocally",
367,"era","英:/'ɪərə/ 美:/'ɪrə/","该版本不支持扩展词库。购买专业版",
368,"errata","英:/e'rɑːtə/ 美:/ɪˈrɑtə/","n. 正误表,勘误表",
369,"erroneous","英:/ɪ'rəʊnɪəs/ 美:/ɪ'ronɪəs/","adj. 〈正〉错误的, 不正确的

副 词:  
erroneously",
370,"espresso","英:/e'spresəʊ/ 美:/ɛ'sprɛso/","该版本不支持扩展词库。购买专业版",
371,"etch","英:/etʃ/ 美:/ɛtʃ/","该版本不支持扩展词库。购买专业版",
372,"eternal","英:/ɪ'tɜːn(ə)l/ 美:/ɪ'tɝnl/","该版本不支持扩展词库。购买专业版",
373,"etymology","英:/ˌetɪ'mɒlədʒɪ/ 美:/ˌɛtɪ'mɑlədʒi/","n. 词源学;词源说明",
374,"evacuate","英:/ɪ'vækjʊeɪt/ 美:/ɪ'vækjuet/","该版本不支持扩展词库。购买专业版",
375,"evacuee","英:/ɪ,vækjuː'iː/ 美:/ɪ'vækjʊ'i/","该版本不支持扩展词库。购买专业版",
376,"evening","英:/'iːv(ə)nɪŋ/ 美:/'ivnɪŋ/","该版本不支持扩展词库。购买专业版",
377,"every rose had thorn","","Free Dictionary在线词典
韦氏在线词典
必应在线词典
柯林斯在线词典
Urban Dictionary
剑桥词典
Dictionary.com在线词典
朗文当代英语在线词典
Ox Living Dict


点击管理在线词典",
378,"every so often","","该版本不支持扩展词库。购买专业版",
379,"Everyone carried out sentry duty fully armed","","Free Dictionary在线词典
韦氏在线词典
必应在线词典
柯林斯在线词典
Urban Dictionary
剑桥词典
Dictionary.com在线词典
朗文当代英语在线词典
Ox Living Dict


点击管理在线词典",
380,"exactly","英:/ɪg'zæk(t)lɪ/ 美:/ɪɡ'zæktli/","该版本不支持扩展词库。购买专业版",
381,"excerpts","/'eksə:pt/","n. 摘由，节选（excerpt复数形式）",
382,"excessive","英:/ɪk'sesɪv/ 美:/ɪkˈsɛsɪv/","adj. 过度的，过分的；极度的

副 词:  
excessively",
383,"excitation","英:/ˌeksɪ'teɪʃ(ə)n/ 美:/ˌɛksaɪ'teʃən/","- n. 惹起，激发
- 激动；兴奋
- (由刺激引起的器官、组织等的)应激反应
- 励磁
- 集电(对电子管或半导体控制电极加载信号电压)
- (原子获得高能量的)激发(过程)",
384,"exclamatory","英:/ɪk'sklæmət(ə)rɪ/ 美:/ɪkˈsklæməˌtɔri/","adj. 叫喊的,感叹的,惊叹的",
385,"excuse","英:/ɪk'skjuːz/ 美:/ɪkˈskjuz/","该版本不支持扩展词库。购买专业版",
386,"exercise","英:/'eksəsaɪz/ 美:/'ɛksɚsaɪz/","该版本不支持扩展词库。购买专业版",
387,"exhibit","英:/ɪg'zɪbɪt/ 美:/ɪɡ'zɪbɪt/","该版本不支持扩展词库。购买专业版",
388,"exotic","英:/ɪg'zɒtɪk/ 美:/ɪɡ'zɑtɪk/","该版本不支持扩展词库。购买专业版",
389,"expanse","英:/ɪk'spæns/ 美:/ɪk'spæns/","该版本不支持扩展词库。购买专业版",
390,"expat","英:/ˌeks'pæt/ 美:/ˈɛksˈpet/","- v. 逐出国外，脱离国籍，放逐；移居国外
- n. 亡命国外者",
391,"expedition","英:/ekspɪ'dɪʃ(ə)n/ 美:/ˌɛkspə'dɪʃən/","- n. 远征；探险；考察
- 迅速，动作敏捷",
392,"exploit","英:/ɪk'splɒɪt/ 美:/ɪkˈsplɔɪt/","该版本不支持扩展词库。购买专业版",
393,"extended","英:/ɪk'stendɪd/ 美:/ɪk'stɛndɪd/","该版本不支持扩展词库。购买专业版",
394,"exteriors","","Free Dictionary在线词典
韦氏在线词典
必应在线词典
柯林斯在线词典
Urban Dictionary
剑桥词典
Dictionary.com在线词典
朗文当代英语在线词典
Ox Living Dict


点击管理在线词典",
395,"extraction","英:/ɪk'strækʃ(ə)n/ 美:/ɪk'strækʃən/","- n. 取出，拔出；开采
- 拔牙
- 血统，家世",
396,"extrapolation","英:/ek,stræpə'leiʃən/ 美:/ɪkˌstræpəˈleʃən/","- n. 推断
- 外推(法)",
397,"fabricate","英:/'fæbrɪkeɪt/ 美:/ˈfæbrɪkeɪt/","- vt. 编造，捏造，虚构；伪造
- 建造

时 态:  
fabricated，fabricating，fabricates 

名 词:  
fabrication

名 词:  
fabricator",
398,"facilitate","英:/fə'sɪlɪteɪt/ 美:/fə'sɪlə'tet/","vt. 使便利, 减轻…的困难

时 态:  
facilitated, facilitating, facilitates 

名 词:  
facilitator",
399,"faecal","英:/ˈfi:kəl/ 美:/'fikl/","该版本不支持扩展词库。购买专业版",
400,"fallacy","英:/'fæləsɪ/ 美:/'fæləsi/","该版本不支持扩展词库。购买专业版",
401,"falsify","英:/'fɔːlsɪfaɪ/ 美:/'fɔlsɪfaɪ/","该版本不支持扩展词库。购买专业版",
402,"famine","英:/'fæmɪn/ 美:/'fæmɪn/","该版本不支持扩展词库。购买专业版",
403,"fancy","英:/'fænsɪ/ 美:/'fænsi/","该版本不支持扩展词库。购买专业版",
404,"fanwise","/'fænwaɪz/","- adv. 呈扇形展开地
- adj. 呈扇形展开的",
