#,单词,音标,解释,笔记
405,"fatigue","英:/fə'tiːg/ 美:/fə'tig/","该版本不支持扩展词库。购买专业版",
406,"feasibility","英:/ˌfi:zə'biliti/ 美:/ˌfizəˈbɪlətɪ/","n. 可行性",
407,"feasible","英:/ˈfiːzəbl/ 美:/'fizəbl/","该版本不支持扩展词库。购买专业版",
408,"feature","英:/'fiːtʃə/ 美:/'fitʃɚ/","该版本不支持扩展词库。购买专业版",
409,"featureless","英:/ˈfi:tʃəlis/ 美:/'fitʃɚləs/","adj. 无特色的,平凡的",
410,"feed","英:/fiːd/ 美:/fid/","该版本不支持扩展词库。购买专业版",
411,"feed on","","用...喂养，靠吃...过活, 以...为能源",
412,"fermentation","英:/fɜːmen'teɪʃ(ə)n/ 美:/ˌfɝmɛn'teʃən/","- n. 发酵
- 激动, 纷扰",
413,"ferocious","英:/fə'rəʊʃəs/ 美:/fə'roʃəs/","adj. 凶猛的, 残忍的, 凶暴的

副 词:  
ferociously",
414,"fidelity","英:/fɪ'delɪtɪ/ 美:/fɪ'dɛləti/","该版本不支持扩展词库。购买专业版",
415,"fieldwork","英:/'fiːldwɜːk/ 美:/'fild'wɝk/","n. 野战工事,野外工作,实地调查,现场工作

名 词:  
fieldworker",
416,"fillings","/'filiŋ/","n. 填料；充填料；馅料（filling的复数形式）",
417,"finance","英:/faɪ'næns/ 美:/'faɪnæns/","该版本不支持扩展词库。购买专业版",
418,"firstname","","n. 名",
419,"fishy","英:/'fɪʃɪ/ 美:/'fɪʃi/","该版本不支持扩展词库。购买专业版",
420,"fist","英:/fɪst/ 美:/fɪst/","该版本不支持扩展词库。购买专业版",
421,"flake","英:/fleɪk/ 美:/flek/","该版本不支持扩展词库。购买专业版",
422,"flat","英:/flæt/ 美:/flæt/","该版本不支持扩展词库。购买专业版",
423,"flavor","英:/ˈfleɪvə/ 美:/ˈfleɪvər/","该版本不支持扩展词库。购买专业版",
424,"flaw","英:/flɔː/ 美:/flɔ/","该版本不支持扩展词库。购买专业版",
425,"flee","英:/fliː/ 美:/fli/","该版本不支持扩展词库。购买专业版",
426,"fleet","英:/fliːt/ 美:/flit/","该版本不支持扩展词库。购买专业版",
427,"flimsy","英:/'flɪmzɪ/ 美:/'flɪmzi/","该版本不支持扩展词库。购买专业版",
428,"flinch","英:/'flɪn(t)ʃ/ 美:/flɪntʃ/","该版本不支持扩展词库。购买专业版",
429,"floorplan","","平[楼]面布置图",
430,"flour","英:/'flaʊə/ 美:/'flaʊɚ/","该版本不支持扩展词库。购买专业版",
431,"flourish","英:/'flʌrɪʃ/ 美:/'flɝɪʃ/","该版本不支持扩展词库。购买专业版",
432,"flowery","英:/'flaʊərɪ/ 美:/ˈflaʊəri/","该版本不支持扩展词库。购买专业版",
433,"foot","英:/fʊt/ 美:/fʊt/","该版本不支持扩展词库。购买专业版",
434,"formalism","英:/'fɔːm(ə)lɪz(ə)m/ 美:/'fɔrməlɪzəm/","- n. (艺术、宗教等方面的)形式主义
- adj. 形式主义的

形容词:  
formalist

形容词:  
formalistic",
435,"formidable","英:/'fɔːmɪdəb(ə)l/ 美:/'fɔrmɪdəbl/","该版本不支持扩展词库。购买专业版",
436,"formulae","/'fɔrmjəli/","公式,规则,客套语(formula的复数)",
437,"formulate","英:/'fɔːmjʊleɪt/ 美:/'fɔrmjə'let/","- vt. 构想出, 规划
- 确切地阐述

时 态:  
formulated, formulating, formulates 

名 词:  
formulation

名 词:  
formulator",
438,"fortune","英:/'fɔːtʃuːn/ 美:/'fɔrtʃən/","该版本不支持扩展词库。购买专业版",
439,"foster","英:/ˈfɔstə/ 美:/ˈfɔstɚ/","该版本不支持扩展词库。购买专业版",
440,"fourth","英:/fɔːθ/ 美:/fɔrθ/","该版本不支持扩展词库。购买专业版",
441,"frail","英:/freɪl/ 美:/frel/","该版本不支持扩展词库。购买专业版",
442,"frantically","英:/'fræntikəli/ 美:/ˈfræntɪklɪ/","adv. 疯狂地;狂热地",
443,"frenetic","英:/frə'netɪk/ 美:/frə'nɛtɪk/","该版本不支持扩展词库。购买专业版",
444,"frontier","英:/'frʌntɪə/ 美:/frʌn'tɪr/","该版本不支持扩展词库。购买专业版",
445,"frontispiece","英:/'frʌntɪspiːs/ 美:/'frʌntɪspis/","n. 卷首插画,标题页,正面,正门",
446,"frost","英:/frɔst/ 美:/frɔst/","该版本不支持扩展词库。购买专业版",
447,"frostbite","英:/'frɒs(t)baɪt/ 美:/'frɔst'baɪt/","n. 冻伤

时 态:  
frostbit 
frostbitten 
frostbiting, frostbites",
448,"fruity","英:/'fruːtɪ/ 美:/'fruti/","该版本不支持扩展词库。购买专业版",
449,"frustrate","英:/frʌ'streɪt/ 美:/'frʌstret/","- vt. 使不成功, 挫败, 阻止
- 使受挫折, 令人沮丧

时 态:  
frustrated, frustrating, frustrates",
450,"frustrating","英:/frʌˈstreɪtɪŋ/ 美:/'frʌstretɪŋ/","adj. 产生挫折的；使人沮丧的，令人泄气的",
451,"fumble","英:/'fʌmb(ə)l/ 美:/'fʌmbl/","该版本不支持扩展词库。购买专业版",
452,"furniture","英:/'fɜːnɪtʃə/ 美:/'fɝnɪtʃɚ/","n. 家具",
453,"furry","英:/'fɜːrɪ/ 美:/ˈfə..ri/","该版本不支持扩展词库。购买专业版",
454,"gap","英:/gæp/ 美:/ɡæp/","该版本不支持扩展词库。购买专业版",
455,"gape","英:/geɪp/ 美:/ɡep/","该版本不支持扩展词库。购买专业版",
456,"gasoline","英:/'gæsəliːn/ 美:/ˈɡæsəˌlin/","该版本不支持扩展词库。购买专业版",
457,"gasp","英:/gɑːsp/ 美:/ɡæsp/","该版本不支持扩展词库。购买专业版",
458,"gear","英:/gɪə/ 美:/ɡɪr/","该版本不支持扩展词库。购买专业版",
459,"genocide","英:/'dʒenəsaɪd/ 美:/'dʒɛnəsaɪd/","该版本不支持扩展词库。购买专业版",
460,"genus","英:/'dʒiːnəs/ 美:/'dʒinəs/","该版本不支持扩展词库。购买专业版",
461,"get about","","该版本不支持扩展词库。购买专业版",
462,"get ahead","","该版本不支持扩展词库。购买专业版",
463,"get injured","","Free Dictionary在线词典
韦氏在线词典
必应在线词典
柯林斯在线词典
Urban Dictionary
剑桥词典
Dictionary.com在线词典
朗文当代英语在线词典
Ox Living Dict


点击管理在线词典",
464,"giggle","英:/'gɪg(ə)l/ 美:/'ɡɪɡl/","该版本不支持扩展词库。购买专业版",
465,"give off","","vt. 发出(光等), 放出, 散发",
466,"glamorous","英:/'glæmərəs/ 美:/'glæmərəs/","adj. 富有魅力的;迷人的",
467,"gleaming","英:/'gli:miŋ/ 美:/ ˈɡlimɪŋ/","该版本不支持扩展词库。购买专业版",
468,"goose","英:/guːs/ 美:/ɡus/","该版本不支持扩展词库。购买专业版",
469,"gouge","英:/gaʊdʒ/ 美:/ɡaʊdʒ/","- vt. 用半圆凿子挖；欺骗
- n. 圆凿；以圆凿刨；沟


时 态:  
gouged, gouging, gouges 

名 词:  
gouger",
470,"gown","英:/gaʊn/ 美:/ɡaʊn/","该版本不支持扩展词库。购买专业版",
471,"granted","英:/'gra:ntid/ 美:/ˈɡræntɪd/","该版本不支持扩展词库。购买专业版",
472,"granularity","/ˌgrænju'læriti/","n. 间隔尺寸,粒度",
473,"graphic","英:/'græfɪk/ 美:/'græfɪk/","该版本不支持扩展词库。购买专业版",
474,"grappling","英:/'ɡræpliŋ/ 美:/ˈɡræplɪŋ/","抓机;锚定",
475,"grin","英:/grɪn/ 美:/ɡrɪn/","该版本不支持扩展词库。购买专业版",
476,"grind","英:/graɪnd/ 美:/ɡraɪnd/","该版本不支持扩展词库。购买专业版",
477,"groceries","","n. 食品;杂货",
478,"grocery","英:/'grəʊs(ə)rɪ/ 美:/'ɡrosəri/","该版本不支持扩展词库。购买专业版",
479,"Gucci","/'gutʃi/","n. 古琦（品牌名）",
480,"guerrilla","英:/gə'rɪlə/ 美:/gə'rɪlə/","n. 游击队员",
481,"hanker","英:/'hæŋkə/ 美:/'hæŋkɚ/","该版本不支持扩展词库。购买专业版",
482,"hardcover","英:/ˈhɑ:dkʌvə/ 美:/'hɑrd'kʌvɚ/","- n. 精装书
- adj. 精装书的,精装的",
483,"harmoniously","英:/h ɑ:ˈməʊnjəslɪ/ 美:/hɑr'monɪəsli/","adv. 和谐地;调和地",
484,"hatch","英:/hætʃ/ 美:/hætʃ/","该版本不支持扩展词库。购买专业版",
485,"haul","英:/hɔːl/ 美:/hɔl/","该版本不支持扩展词库。购买专业版",
486,"have","英:/hæv/ 美:/hæv/","该版本不支持扩展词库。购买专业版",
487,"hazard","英:/ˈhæzəd/ 美:/ˈhæzəd/","该版本不支持扩展词库。购买专业版",
488,"heels","英:/hi:lz/ 美:/hilz/","- n. 脚踝；残余料；高跟鞋（heel的复数）
- v. 紧跟；给（鞋等）装跟（heel的三单形式）",
489,"herald","英:/'her(ə)ld/ 美:/'hɛrəld/","该版本不支持扩展词库。购买专业版",
490,"heritage","英:/'herɪtɪdʒ/ 美:/'hɛrɪtɪdʒ/","该版本不支持扩展词库。购买专业版",
491,"hermit","英:/'hɜːmɪt/ 美:/'hɝmɪt/","该版本不支持扩展词库。购买专业版",
492,"hiccup","英:/'hɪkʌp/ 美:/'hɪkəp/","该版本不支持扩展词库。购买专业版",
493,"hierarchy","英:/'haɪərɑːkɪ/ 美:/'haɪərɑrki/","- n. 等级制度
- 统治集团, 领导层",
494,"hint","英:/hɪnt/ 美:/hɪnt/","该版本不支持扩展词库。购买专业版",
495,"hit","英:/hɪt/ 美:/hɪt/","该版本不支持扩展词库。购买专业版",
496,"hitch","英:/hɪtʃ/ 美:/hɪtʃ/","该版本不支持扩展词库。购买专业版",
497,"hitchhike","英:/'hɪtʃhaɪk/ 美:/'hɪtʃ,haɪk/","- n. 搭便车(旅行)
- vi. 作搭便车式的旅行

时 态:  
hitchhiked, hitchhiking, hitchhikes 

名 词:  
hitchhike

名 词:  
hitchhiker",
498,"holistic","英:/həʊˈlɪstɪk/ 美:/ho'lɪstɪk/","该版本不支持扩展词库。购买专业版",
499,"homesick","英:/'həʊmsɪk/ 美:/'homsɪk/","该版本不支持扩展词库。购买专业版",
500,"horrific","英:/hɒ'rɪfɪk/ 美:/hə'rɪfɪk/","该版本不支持扩展词库。购买专业版",
501,"host","英:/həʊst/ 美:/host/","该版本不支持扩展词库。购买专业版",
502,"hostility","英:/hɒ'stɪlɪtɪ/ 美:/hɑ'stɪləti/","- n. 敌意, 敌对状态
- 战争行动, 战斗",
503,"humidity","英:/hjʊ'mɪdɪtɪ/ 美:/hju'mɪdəti/","该版本不支持扩展词库。购买专业版",
504,"humiliate","英:/hjʊ'mɪlɪeɪt/ 美:/hju'mɪlɪet/","vt. 使蒙羞, 羞辱, 使丢脸

时 态:  
humiliated, humiliating, humiliates",
505,"hut","英:/hʌt/ 美:/hʌt/","该版本不支持扩展词库。购买专业版",
506,"hyena","英:/haɪ'iːnə/ 美:/haɪ'inə/","该版本不支持扩展词库。购买专业版",
507,"hyenas","/hai'i:nə/","n. 土狼（hyena的复数形式）",
508,"hygiene","英:/'haɪdʒiːn/ 美:/'haɪdʒin/","该版本不支持扩展词库。购买专业版",
509,"hyperfine","/'haɪpəfaɪn/","adj. 超精细的",
510,"hypocrite","英:/'hɪpəkrɪt/ 美:/'hɪpə'krɪt/","该版本不支持扩展词库。购买专业版",
511,"identical","英:/aɪ'dentɪk(ə)l/ 美:/aɪ'dɛntɪkl/","adj. 同一的

副 词:  
identically",
512,"identify","英:/aɪ'dentɪfaɪ/ 美:/aɪ'dɛntɪfaɪ/","该版本不支持扩展词库。购买专业版",
513,"idle","英:/'aɪd(ə)l/ 美:/'aɪdl/","该版本不支持扩展词库。购买专业版",
514,"ignorant","英:/'ɪgn(ə)r(ə)nt/ 美:/'ɪɡnərənt/","该版本不支持扩展词库。购买专业版",
515,"illustrative","英:/'ɪləstrətɪv/ 美:/ɪ'lʌstrətɪv/","- adj. 用作说明的,解说性的
- adv. 用作说明地,解说性地",
516,"imitate","英:/'ɪmɪteɪt/ 美:/'ɪmɪtet/","该版本不支持扩展词库。购买专业版",
517,"immediately","英:/ɪ'miːdɪətlɪ/ 美:/ɪ'midɪətli/","- adv. 立即, 马上
- 直接地",
518,"impediment","英:/ɪm'pedɪm(ə)nt/ 美:/ɪm'pɛdɪmənt/","- n. 妨碍、阻碍某事物进展或活动的人或物
- 身体上的某类残疾, 缺陷

形容词:  
impedimental",
519,"impending","英:/ɪm'pendɪŋ/ 美:/ɪm'pɛndɪŋ/","adj. 即将发生的;迫在眉睫的",
520,"imperceptibly","英:/ˌimpə'septəbli/ 美:/ˌɪmpɚˈs ɛptəblɪ/","- adv. 无感觉地；感觉不到地；不知不觉地
- 极微地",
521,"implementation","英:/ˌimplimen'teiʃən/ 美:/ˌɪmplɪmənˈteʃən/","n. 贯彻，执行",
522,"impudent","英:/'ɪmpjʊd(ə)nt/ 美:/'ɪmpjədənt/","该版本不支持扩展词库。购买专业版",
523,"imputation","英:/ˌɪmpjuː'teɪʃən/ 美:/ˌɪmpjʊ'teʃən/","- n. 归罪;负责
- 诋毁；非难;污名

形容词:  
imputative

副 词:  
imputatively",
524,"In my company, the information gained from these interviews is often not confidential","","Free Dictionary在线词典
韦氏在线词典
必应在线词典
柯林斯在线词典
Urban Dictionary
剑桥词典
Dictionary.com在线词典
朗文当代英语在线词典
Ox Living Dict


点击管理在线词典",
525,"in place","","在适当的位置",
526,"in term of","","Free Dictionary在线词典
韦氏在线词典
必应在线词典
柯林斯在线词典
Urban Dictionary
剑桥词典
Dictionary.com在线词典
朗文当代英语在线词典
Ox Living Dict


点击管理在线词典",
527,"in terms of","","就...而言,在...方面",
528,"in the long run","","该版本不支持扩展词库。购买专业版",
529,"inaccessible","英:/ɪnək'sesɪb(ə)l/ 美:/ˌɪnæk'sɛsəbl/","adj. 达不到的, 不可及的

名 词:  
inaccessibility

副 词:  
inaccessibly",
530,"inadequate","英:/ɪn'ædɪkwət/ 美:/ɪn'ædɪkwət/","- adj. 不充足的，不适当的
- 不足胜任的，信心不足的
- adv. 不充足地，不适当地；不足胜任地

副 词:  
inadequately",
531,"inanimate","英:/ɪn'ænɪmət/ 美:/ɪn'ænɪmət/","- adj. 无生命的
- 无生气的, 无精打采的, 单调的",
532,"Inc","/iŋk/","该版本不支持扩展词库。购买专业版",
533,"Inca","/'ɪŋkə/","该版本不支持扩展词库。购买专业版",
534,"incandescent","英:/ɪnkæn'des(ə)nt/ 美:/'ɪnkən'dɛsnt/","- adj. 白热的；白炽的
- 十分明亮的，耀眼的
- 感情强烈的；激情的",
535,"incapable","英:/ɪn'keɪpəb(ə)l/ 美:/ɪn'kepəbl/","adj. 无能力的, 不会的",
536,"incentive","英:/ɪn'sentɪv/ 美:/ɪn'sɛntɪv/","n. 激励某人做某事的事物；刺激；诱因，动机",
537,"incompatible","英:/ɪnkəm'pætɪb(ə)l/ 美:/ˌɪnkəm'pætəbl/","adj. 合不来的，不能和谐相处的；不协调的，不相配的

副 词:  
incompatibly",
538,"incompetent","英:/ɪn'kɒmpɪt(ə)nt/ 美:/ɪn'kɑmpɪtənt/","adj. 无能力的, 不称职的, 不胜任的

副 词:  
incompetently",
539,"incorporate","英:/ɪn'kɔːpəreɪt/ 美:/ɪnˈkɔrpəˌret/","- vt. 包含, 加上, 吸收
- 把…合并, 使并入
- 组成公司

时 态:  
incorporated, incorporating, incorporates 

形容词:  
incorporable

名 词:  
incorporation

形容词:  
incorporative

名 词:  
incorporator",
540,"incubation","英:/ɪŋkjʊ'beɪʃ(ə)n/ 美:/ˌɪŋkju'beʃən/","- n. 孵卵；孵化
- (传染病的)潜伏期
- (细菌等的)繁殖",
541,"inculcation","英:/ˌɪnk ʌlˈkeɪʃən/ 美:/ˌɪnkʌl'keʃən/","该版本不支持扩展词库。购买专业版",
542,"indelible","英:/ɪn'delɪb(ə)l/ 美:/ɪn'dɛləbl/","- adj. 擦不掉的
- 永久的,持久的

副 词:  
indelibly",
543,"induction","英:/ɪn'dʌkʃ(ə)n/ 美:/ɪn'dʌkʃən/","- n. 就职, 入伍
- 吸入
- (电或磁的)感应
- 归纳(法)",
544,"indulgence","英:/ɪn'dʌldʒ(ə)ns/ 美:/ɪn'dʌldʒəns/","该版本不支持扩展词库。购买专业版",
545,"industry","英:/'ɪndəstrɪ/ 美:/'ɪndəstri/","该版本不支持扩展词库。购买专业版",
546,"inept","英:/ɪ'nept/ 美:/ɪnˈɛpt/","该版本不支持扩展词库。购买专业版",
547,"inert","英:/ɪ'nɜːt/ 美:/ɪ'nɝt/","该版本不支持扩展词库。购买专业版",
548,"inessential","英:/ɪnɪ'senʃ(ə)l/ 美:/'ɪnɪ'sɛnʃəl/","- adj. 非必要的,无关紧要的
- 可省去的,可有可无的
- n. 可有可无的事物",
549,"inevitable","英:/ɪn'evɪtəb(ə)l/ 美:/ɪn'ɛvɪtəbl/","- adj. 不可避免的, 必然发生的
- 〈非正〉总会发生的, 照例必有的, 惯常的

名 词:  
inevitability

副 词:  
inevitably",
550,"inextricably","/'ɪnɪk'strɪkəbli/","adv. 逃不掉地,解决不了地,解不开地",
551,"inflationary","英:/ɪn'fleɪʃənrɪ/ 美:/ɪn'fleʃənɛri/","adj. 通货膨胀的,通货膨胀倾向的",
552,"infrared","英:/ɪnfrə'red/ 美:/ˌɪnfrə'rɛd/","该版本不支持扩展词库。购买专业版",
553,"ingrain","英:/ɪn'greɪn/ 美:/'ɪngren/","该版本不支持扩展词库。购买专业版",
554,"ingredient","英:/ɪn'griːdɪənt/ 美:/ɪn'ɡridɪənt/","n. (混合物的)组成部分; 配料",
555,"inherent","英:/ɪn'hɪər(ə)nt/ 美:/ɪn'hɪrənt/","该版本不支持扩展词库。购买专业版",
556,"inimitably","/i'nimitəbli/","adv. 无法仿效地,独特地",
557,"initial","英:/iˈniʃəl/ 美:/ɪ'nɪʃəl/","该版本不支持扩展词库。购买专业版",
558,"ink","英:/iŋk/ 美:/ɪŋk/","该版本不支持扩展词库。购买专业版",
559,"inquest","英:/'ɪnkwest/ 美:/'ɪŋkwɛst/","该版本不支持扩展词库。购买专业版",
560,"insight","英:/'ɪnsaɪt/ 美:/'ɪn'saɪt/","该版本不支持扩展词库。购买专业版",
561,"insipid","英:/ɪn'sɪpɪd/ 美:/ɪn'sɪpɪd/","该版本不支持扩展词库。购买专业版",
562,"insolent","英:/'ɪns(ə)l(ə)nt/ 美:/'ɪnsələnt/","该版本不支持扩展词库。购买专业版",
563,"inspection","英:/ɪn'spekʃn/ 美:/ɪn'spɛkʃən/","n. 检查,视察",
564,"instability","英:/ɪnstə'bɪlɪtɪ/ 美:/ˌɪnstə'bɪləti/","n. 不稳定,不稳固",
565,"insult","英:/ɪn'sʌlt/ 美:/ɪn'sʌlt/","该版本不支持扩展词库。购买专业版",
566,"integers","/'intidʒə/","n. 整数（integer的复数）",
567,"intensify","英:/ɪn'tensɪfaɪ/ 美:/ɪn'tɛnsɪfaɪ/","vt. & vi. (使)增强, (使)加剧

时 态:  
intensified, intensifying, intensifies 

名 词:  
intensification",
568,"interchange","英:/ˌintə'tʃeindʒ/ 美:/ˌɪntɚˈtʃendʒ/","- vt. (指两人等)交换事物, 互换
- 使两人或两物相互易位
- vt. & vi. (使某事物)交替变化

时 态:  
interchanged, interchanging, interchanges 

名 词:  
interchanger",
569,"interminable","英:/ɪn'tɜːmɪnəb(ə)l/ 美:/ɪn'tɝmɪnəbl/","该版本不支持扩展词库。购买专业版",
570,"intimate","英:/'ɪntɪmət/ 美:/'ɪntɪmət/","该版本不支持扩展词库。购买专业版",
571,"intimidate","英:/ɪn'tɪmɪdeɪt/ 美:/ɪn'tɪmɪdet/","vt. 恐吓, 威胁

时 态:  
intimidated, intimidating, intimidates 

副 词:  
intimidatingly

名 词:  
intimidation

名 词:  
intimidator",
572,"intonation","英:/ɪntə'neɪʃ(ə)n/ 美:/ˌɪntə'neʃən/","n. 语调;说话的抑扬顿挫",
573,"intrigue","英:/ɪn'triːg/ 美:/'ɪn'triɡ/","该版本不支持扩展词库。购买专业版",
574,"intrigued","英:/ɪnˈtri: gd/ 美:/ɪn'triɡd/","adj. 好奇的;被迷住了的",
575,"intuition","英:/ɪntjʊ'ɪʃ(ə)n/ 美:/ˌɪntu'ɪʃən/","- n. 直觉
- 凭直觉感知的知识

形容词:  
intuitional",
576,"invariant","英:/ɪn'veərɪənt/ 美:/ɪn'vɛrɪənt/","- adj. 无变化的,不变的
- n. 不变式,不变量

名 词:  
invariance",
577,"invigorate","英:/ɪn'vɪgəreɪt/ 美:/ɪn'vɪɡəret/","- vt. 使生气勃勃；使精力充沛；使健壮
- adj. 生气勃勃的；精力充沛的；健壮的
- n. 精力充沛；健壮；滋补；鼓舞
- n. 滋补药；鼓舞者

时 态:  
invigorated，invigorating，invigorates 

名 词:  
invigoration

名 词:  
invigorator",
578,"ion","英:/'aɪən/ 美:/'aɪən/","该版本不支持扩展词库。购买专业版",
579,"iridescent","英:/ˌɪrɪ'des(ə)nt/ 美:/ˌɪrɪ'dɛsnt/","- adj. 彩虹色的
-  (随位置不同而)变色的,闪色的",
580,"iron","英:/'aɪən/ 美:/'aɪɚn/","该版本不支持扩展词库。购买专业版",
581,"ironic","英:/aɪˈrɔnɪk/ 美:/aɪ'rɑnɪk/","该版本不支持扩展词库。购买专业版",
582,"irony","英:/'aɪrənɪ/ 美:/'aɪrəni/","该版本不支持扩展词库。购买专业版",
583,"isotropic","英:/ˌaɪsə(ʊ)'trɒpɪk/ 美:/ˌaɪsə'trɑpɪk/","adj. 等方性的

名 词:  
isotropy",
584,"it dawned on me that","","Free Dictionary在线词典
韦氏在线词典
必应在线词典
柯林斯在线词典
Urban Dictionary
剑桥词典
Dictionary.com在线词典
朗文当代英语在线词典
Ox Living Dict


点击管理在线词典",
585,"It's noteworthy that it made no difference if the jargon terms were defined in the text","","Free Dictionary在线词典
韦氏在线词典
必应在线词典
柯林斯在线词典
Urban Dictionary
剑桥词典
Dictionary.com在线词典
朗文当代英语在线词典
Ox Living Dict


点击管理在线词典",
586,"jargon","英:/'dʒɑːg(ə)n/ 美:/'dʒɑrɡən/","该版本不支持扩展词库。购买专业版",
587,"jewellery","/'dʒuːəlrɪ/","n. 首饰; 饰物",
588,"jigsaw","英:/'dʒɪgsɔː/ 美:/'dʒɪɡsɔ/","该版本不支持扩展词库。购买专业版",
589,"jostling","/'dʒɔsliŋ/","n. 推撞,冲撞别人的马",
590,"jot down","","记下",
591,"judiciary","英:/dʒʊ'dɪʃ(ə)rɪ/ 美:/dʒu'dɪʃɪɛri/","- n. (总称)法官，审判官
- adj. 法院的；审判员的；司法的",
592,"jumpy","英:/'dʒʌmpɪ/ 美:/'dʒʌmpi/","该版本不支持扩展词库。购买专业版",
593,"junction","英:/'dʒʌŋ(k)ʃ(ə)n/ 美:/'dʒʌŋkʃən/","该版本不支持扩展词库。购买专业版",
594,"kick","英:/kɪk/ 美:/kɪk/","该版本不支持扩展词库。购买专业版",
595,"kinematics","英:/ˌkɪnɪ'mætɪks/ 美:/kaɪ/","n. 运动学(力学的一个分支, 研究物体的运动, 而不考虑其运动的原因)

副 词:  
kinematically",
596,"knackered","英:/ˈnækəd/ 美:/'nækɚd/","adj. 筋疲力尽的",
597,"laborious","英:/lə'bɔːrɪəs/ 美:/lə'bɔrɪəs/","adj. 勤劳的；困难的，费力的

副 词:  
laboriously",
598,"ladder","英:/'lædə/ 美:/'lædɚ/","该版本不支持扩展词库。购买专业版",
599,"languid","英:/'læŋgwɪd/ 美:/ˈlæŋɡwɪd/","该版本不支持扩展词库。购买专业版",
600,"lanterns","/'læntən/","n. 灯笼，提灯（lantern的复数）",
601,"larceny","英:/'lɑːs(ə)nɪ/ 美:/'lɑrsəni/","该版本不支持扩展词库。购买专业版",
602,"laryngeal","英:/lə'rɪn(d)ʒɪəl/ 美:/lə'rɪndʒɪəl/","adj. 喉的, 喉音的",
603,"lateral","英:/'læt(ə)r(ə)l/ 美:/'lætərəl/","该版本不支持扩展词库。购买专业版",
604,"lavatory","英:/'lævət(ə)rɪ/ 美:/'lævətɔri/","该版本不支持扩展词库。购买专业版",
605,"lawns","/lɔ:n/","- n. 草坪；草地（lawn的复数形式）
- v. 将地修改成草坪（lawn的第三人称单数）",
606,"laymen","","Free Dictionary在线词典
韦氏在线词典
必应在线词典
柯林斯在线词典
Urban Dictionary
剑桥词典
Dictionary.com在线词典
朗文当代英语在线词典
Ox Living Dict


点击管理在线词典",
607,"layout","英:/'leɪaʊt/ 美:/'leaʊt/","该版本不支持扩展词库。购买专业版",
608,"leach","英:/liːtʃ/ 美:/litʃ/","该版本不支持扩展词库。购买专业版",
609,"leakage","英:/'liːkɪdʒ/ 美:/'likɪdʒ/","该版本不支持扩展词库。购买专业版",
610,"leave","英:/liːv/ 美:/liv/","该版本不支持扩展词库。购买专业版",
611,"left","英:/left/ 美:/lɛft/","该版本不支持扩展词库。购买专业版",
612,"leg","英:/leg/ 美:/lɛɡ/","该版本不支持扩展词库。购买专业版",
613,"legacy","英:/'legəsɪ/ 美:/'lɛgəsi/","该版本不支持扩展词库。购买专业版",
614,"legal","英:/'liːg(ə)l/ 美:/'ligl/","该版本不支持扩展词库。购买专业版",
615,"legibility","/ˌlɛdʒə'bɪləti/","n. 易读性,易辨认,易理解",
616,"legislation","英:/ledʒɪs'leɪʃ(ə)n/ 美:/ˌlɛdʒɪs'leʃən/","- n. 法律；法规
- 立法，法律的制定[通过]",
617,"lest","英:/lest/ 美:/lɛst/","conj. 唯恐，以免；担心",
618,"light","英:/laɪt/ 美:/laɪt/","该版本不支持扩展词库。购买专业版",
