#,单词,音标,解释,笔记
619,"lingua","/'lɪŋɡwə/","该版本不支持扩展词库。购买专业版",
620,"lingua franca","/ˏlɪŋgwə ˈfræŋkə/","该版本不支持扩展词库。购买专业版",
621,"linguistic","英:/lɪŋ'gwɪstɪk/ 美:/lɪŋ'gwɪstɪk/","adj. 语言的, 语言学的, 语言研究的",
622,"linguistics","英:/lɪŋ'gwɪstɪks/ 美:/lɪŋ'ɡwɪstɪks/","n. 语言学",
623,"locked","/lɔkt/","该版本不支持扩展词库。购买专业版",
624,"log","英:/lɒg/ 美:/lɔɡ/","该版本不支持扩展词库。购买专业版",
625,"lopsided","英:/lɒp'saɪdɪd/ 美:/ˌlɑp'saɪdɪd/","该版本不支持扩展词库。购买专业版",
626,"lubricating","/'lʊbrɪ,ket/","adj. 润滑的",
627,"lucidly","/'lu:sidli/","该版本不支持扩展词库。购买专业版",
628,"lure","英:/l(j)ʊə/ 美:/lʊr/","该版本不支持扩展词库。购买专业版",
629,"lyrical","英:/'lɪrɪk(ə)l/ 美:/'lɪrɪkl/","该版本不支持扩展词库。购买专业版",
630,"maintain","英:/meɪn'teɪn/ 美:/men'ten/","该版本不支持扩展词库。购买专业版",
631,"mammoth","英:/'mæməθ/ 美:/'mæməθ/","该版本不支持扩展词库。购买专业版",
632,"mandatory","英:/'mændət(ə)rɪ/ 美:/'mændətɔri/","adj. 命令的;强制的;义务的",
633,"manually","英:/'mænjuəli/ 美:/ˈmænjʊəlɪ/","该版本不支持扩展词库。购买专业版",
634,"maraud","英:/mə'rɔːd/ 美:/məˈrɔd/","该版本不支持扩展词库。购买专业版",
635,"march","英:/mɑːtʃ/ 美:/mɑrtʃ/","该版本不支持扩展词库。购买专业版",
636,"marvel","英:/'mɑːv(ə)l/ 美:/'mɑrvl/","该版本不支持扩展词库。购买专业版",
637,"massacre","英:/'mæsəkə/ 美:/'mæsəkɚ/","该版本不支持扩展词库。购买专业版",
638,"maximum","英:/'mæksɪməm/ 美:/'mæksɪməm/","该版本不支持扩展词库。购买专业版",
639,"mayor","英:/meə/ 美:/'meɚ/","该版本不支持扩展词库。购买专业版",
640,"meditation","英:/medɪ'teɪʃ(ə)n/ 美:/ˌmɛdɪ'teʃən/","- n. 默想, 默念
- 沉思, 思考；冥想",
641,"membrane","英:/'membreɪn/ 美:/'mɛmbren/","该版本不支持扩展词库。购买专业版",
642,"memorable","英:/'mem(ə)rəb(ə)l/ 美:/'mɛmərəbl/","该版本不支持扩展词库。购买专业版",
643,"memorial","英:/mə'mɔːriəl/ 美:/mə'mɔriəl/","该版本不支持扩展词库。购买专业版",
644,"mentally","英:/ˈmentəlɪ/ 美:/'mɛntli/","该版本不支持扩展词库。购买专业版",
645,"mercenary","英:/'mɜːsɪn(ə)rɪ/ 美:/'mɝsənɛri/","- adj. 雇用的,为钱的,唯利是图的
- adv. 雇用地,唯利是图地",
646,"message","英:/'mesɪdʒ/ 美:/'mɛsɪdʒ/","该版本不支持扩展词库。购买专业版",
647,"meteorite","英:/'miːtɪəraɪt/ 美:/'mitɪə'raɪt/","n. 陨星

形容词:  
meteoritic",
648,"meticulous","英:/mɪ'tɪkjʊləs/ 美:/mə'tɪkjələs/","adj. 极仔细的; 一丝不苟的

名 词:  
meticulosity

副 词:  
meticulously",
649,"metro","英:/'metrəʊ/ 美:/'mɛtro/","该版本不支持扩展词库。购买专业版",
650,"military","英:/'mɪlɪt(ə)rɪ/ 美:/'mɪlətɛri/","该版本不支持扩展词库。购买专业版",
651,"militate","英:/'mɪlɪteɪt/ 美:/'mɪlɪtet/","该版本不支持扩展词库。购买专业版",
652,"mill","英:/mɪl/ 美:/mɪl/","该版本不支持扩展词库。购买专业版",
653,"miller","英:/'mɪlə/ 美:/ˈmɪlɚ/","该版本不支持扩展词库。购买专业版",
654,"million","英:/'mɪljən/ 美:/'mɪljən/","该版本不支持扩展词库。购买专业版",
655,"millionaires","","Free Dictionary在线词典
韦氏在线词典
必应在线词典
柯林斯在线词典
Urban Dictionary
剑桥词典
Dictionary.com在线词典
朗文当代英语在线词典
Ox Living Dict


点击管理在线词典",
656,"mimic","英:/'mɪmɪk/ 美:/'mɪmɪk/","该版本不支持扩展词库。购买专业版",
657,"Mining engineering","","Free Dictionary在线词典
韦氏在线词典
必应在线词典
柯林斯在线词典
Urban Dictionary
剑桥词典
Dictionary.com在线词典
朗文当代英语在线词典
Ox Living Dict


点击管理在线词典",
658,"minor","英:/'maɪnə/ 美:/'maɪnɚ/","该版本不支持扩展词库。购买专业版",
659,"misdemeanor","英:/ˌmɪsdɪˈmi:nə/ 美:/ˌmɪsdɪ'minɚ/","- n. 不法行为
- (相对于重罪的)轻罪,小罪",
660,"miserable","英:/'mɪz(ə)rəb(ə)l/ 美:/'mɪzrəbl/","该版本不支持扩展词库。购买专业版",
661,"misleading","英:/mɪsˈli:dɪŋ/ 美:/ˌmɪs'lidɪŋ/","adj. 欺骗的;误导性的",
662,"misrepresent","英:/ˌmɪsreprɪ'zent/ 美:/ˌmɪs,rɛprɪ'zɛnt/","- vt. 故意对…作错误的报道
- n. 误传

时 态:  
misrepresented, misrepresenting, misrepresents 

名 词:  
misrepresentation

形容词:  
misrepresentative

名 词:  
misrepresenter",
663,"mistake","英:/mɪ'steɪk/ 美:/mɪ'stek/","该版本不支持扩展词库。购买专业版",
664,"mnemonic","英:/nɪ'mɒnɪk/ 美:/nɪ'mɑnɪk/","该版本不支持扩展词库。购买专业版",
665,"modified","英:/'mɔdifaid/ 美:/ˈmɑdəˌfaɪd/","该版本不支持扩展词库。购买专业版",
666,"modulus","英:/'mɒdjʊləs/ 美:/ˈmɑdʒələs/","该版本不支持扩展词库。购买专业版",
667,"mole","英:/məʊl/ 美:/mol/","该版本不支持扩展词库。购买专业版",
668,"moment","英:/'məʊm(ə)nt/ 美:/'momənt/","该版本不支持扩展词库。购买专业版",
669,"momentarily","英:/'məʊm(ə)nt(ə)rɪlɪ/ 美:/ˌmomən'tɛrəli/","adv. 顷刻之间；马上，立刻",
670,"monitor","英:/'mɒnɪtə/ 美:/'mɑnətɚ/","该版本不支持扩展词库。购买专业版",
671,"monologue","英:/'mɒn(ə)lɒg/ 美:/ˈmɑnəˌlɔɡ/","该版本不支持扩展词库。购买专业版",
672,"mor","/mɔː/","n. 粗腐殖质

MORabbr. Magneto-Optical Rotation 磁致旋光",
673,"moral","英:/'mɒr(ə)l/ 美:/'mɔrəl/","该版本不支持扩展词库。购买专业版",
674,"morphology","英:/mɔː'fɒlədʒɪ/ 美:/mɔr'fɑlədʒi/","n. 形态学(尤指动植物形态学或词语形态学)

形容词:  
morphological

名 词:  
morphologist",
675,"mosque","英:/mɒsk/ 美:/mɑsk/","该版本不支持扩展词库。购买专业版",
676,"mucous","英:/'mjuːkəs/ 美:/'mjʊkəs/","该版本不支持扩展词库。购买专业版",
677,"mucus","英:/'mjuːkəs/ 美:/'mjukəs/","该版本不支持扩展词库。购买专业版",
678,"mull","英:/mʌl/ 美:/mʌl/","该版本不支持扩展词库。购买专业版",
679,"multipartite","英:/ˌmʌltɪ'pɑːtaɪt/ 美:/ˌmʌltɪ'pɑrtaɪt/","adj. 分成多部分的,多国参加的",
680,"mundane","英:/'mʌndeɪn/ 美:/mʌnˈden/","该版本不支持扩展词库。购买专业版",
681,"munition","英:/mjʊ'nɪʃ(ə)n/ 美:/mju'nɪʃnz/","该版本不支持扩展词库。购买专业版",
682,"Muppet","/'mʌpɪt/","n. 提线木偶",
683,"murmur","英:/'mɜːmə/ 美:/'mɝmɚ/","该版本不支持扩展词库。购买专业版",
684,"muster","英:/'mʌstə/ 美:/'mʌstɚ/","该版本不支持扩展词库。购买专业版",
685,"mutually","/'mjutʃuəli/","该版本不支持扩展词库。购买专业版",
686,"myth","英:/mɪθ/ 美:/mɪθ/","该版本不支持扩展词库。购买专业版",
687,"narrate","英:/nə'reɪt/ 美:/nə'ret/","该版本不支持扩展词库。购买专业版",
688,"narrative","英:/'nærətɪv/ 美:/'nærətɪv/","- n. 记叙文；故事
- 叙述，讲述；叙述部分
- adj. 叙述的；叙事体的

副 词:  
narratively",
689,"nationalist","英:/'næʃ(ə)n(ə)lɪst/ 美:/'næʃnəlɪst/","n. 民族主义者;国家主义者",
690,"navigate","英:/'nævɪgeɪt/ 美:/'nævə'get/","该版本不支持扩展词库。购买专业版",
691,"navigation","英:/nævɪ'geɪʃ(ə)n/ 美:/'nævə'geʃən/","- n. 航行(学)；航海(术)，航空(术)
- 导航，领航

形容词:  
navigational",
692,"need","英:/niːd/ 美:/nid/","该版本不支持扩展词库。购买专业版",
693,"negligent","英:/'neɡlɪdʒənt/ 美:/'nɛɡlɪdʒənt/","- adj. 疏忽的;粗心大意的
- 不拘泥的;不计较的;不在乎的;随便的;无所谓的",
694,"negotiation","英:/nɪgəʊʃɪ'eɪʃ(ə)n/ 美:/nɪ,ɡoʃɪ'eʃən/","- n. 协商，谈判
- 完成(难事)；通过",
695,"negotiator","英:/nɪˈgəʊʃɪeɪtə(r)/ 美:/nɪ'ɡoʃɪetɚ/","- n. 磋商者;交涉者
- 出售者;交易者;转让者",
696,"nested","/'nestid/","adj. 嵌套的",
697,"net","英:/net/ 美:/nɛt/","该版本不支持扩展词库。购买专业版",
698,"neutrino","英:/njuː'triːnəʊ/ 美:/nu'trino/","该版本不支持扩展词库。购买专业版",
699,"newsagent","英:/ˈnju:zˌeɪdʒɵnt/ 美:/'nʊz'edʒənt/","n. 报刊经销人",
700,"nighty","英:/'naɪtɪ/ 美:/ˈnaɪti/","n. [口]睡衣",
701,"nighty-night","/'naiti'nait/","int. 晚安",
702,"nitty-gritty","英:/'niti'ɡriti/ 美:/ˈnɪtiˈɡrɪti/","n. 事实真相,本质",
703,"nonconductor","英:/ˌnɒnkən'dʌktə/ 美:/ˌnɑnkənˈdʌktɚ/","n. 不传导体,绝缘体",
704,"none the less","","该版本不支持扩展词库。购买专业版",
705,"nonverbal","英:/nɔn'və:bəl/ 美:/nɑnˈvɚbəl/","adj. 不用言辞表达的",
706,"norm","英:/nɔːm/ 美:/nɔrm/","该版本不支持扩展词库。购买专业版",
707,"Norse","/nɔ:s/","该版本不支持扩展词库。购买专业版",
708,"notorious","英:/nə(ʊ)'tɔːrɪəs/ 美:/no'tɔrɪəs/","adj. 臭名昭著的, 声名狼藉的

副 词:  
notoriously",
709,"Nutrients","","Free Dictionary在线词典
韦氏在线词典
必应在线词典
柯林斯在线词典
Urban Dictionary
剑桥词典
Dictionary.com在线词典
朗文当代英语在线词典
Ox Living Dict


点击管理在线词典",
710,"oat","英:/əʊt/ 美:/ot/","该版本不支持扩展词库。购买专业版",
711,"obedience","英:/ə'biːdɪəns/ 美:/ə'bidjəns/","n. 服从;顺从;听话",
712,"obsess","英:/əb'ses/ 美:/əb'sɛs/","该版本不支持扩展词库。购买专业版",
713,"obsession","英:/əb'seʃ(ə)n/ 美:/əbˈsɛʃən/","n. 困扰, 无法摆脱的思想(或情感)

形容词:  
obsessional

副 词:  
obsessionally",
714,"obsolete","英:/'ɒbsəliːt/ 美:/ˌɑbsə'lit/","该版本不支持扩展词库。购买专业版",
715,"obstacle","英:/'ɒbstək(ə)l/ 美:/'ɑbstəkl/","该版本不支持扩展词库。购买专业版",
716,"occupation","英:/ɒkjʊ'peɪʃ(ə)n/ 美:/ˌɑkju'peʃən/","- n. 工作; 职业
- 消遣
- 占领",
717,"odorize","/'əʊdəraɪz/","该版本不支持扩展词库。购买专业版",
718,"offish","英:/'ɒfɪʃ/ 美:/'ɔfɪʃ/","该版本不支持扩展词库。购买专业版",
719,"onwards","英:/'ɔnwədz/ 美:/ˈɑnwɚdz/","该版本不支持扩展词库。购买专业版",
720,"open up a slot","","Free Dictionary在线词典
韦氏在线词典
必应在线词典
柯林斯在线词典
Urban Dictionary
剑桥词典
Dictionary.com在线词典
朗文当代英语在线词典
Ox Living Dict


点击管理在线词典",
721,"opera","英:/'ɒp(ə)rə/ 美:/'ɑprə/","该版本不支持扩展词库。购买专业版",
722,"optical","英:/'ɒptɪk(ə)l/ 美:/'ɑptɪkl/","该版本不支持扩展词库。购买专业版",
723,"orientation","英:/ˌɔːrɪən'teɪʃ(ə)n/ 美:/orɪɛn'teʃən/","该版本不支持扩展词库。购买专业版",
724,"ornament","英:/'ɔːnəm(ə)nt/ 美:/'ɔrnəmənt/","该版本不支持扩展词库。购买专业版",
725,"outlier","英:/'aʊtlaɪə/ 美:/'aʊt,laɪɚ/","该版本不支持扩展词库。购买专业版",
726,"outrageous","英:/aʊt'reɪdʒəs/ 美:/aʊt'redʒəs/","adj. 骇人的;残暴的;无耻的;不道德的

副 词:  
outrageously",
727,"outskirts","/'aʊt'skɝts/","n. 外围地区, 郊区, 郊外",
728,"outwash","英:/'aʊtwɒʃ/ 美:/'aʊtwɑʃ/","n. [地质]冰水沉积；消融，冲蚀",
729,"oval","英:/'əʊv(ə)l/ 美:/'ovl/","该版本不支持扩展词库。购买专业版",
730,"overall","英:/'əʊvərɔːl/ 美:/ˌovə'rɔl/","该版本不支持扩展词库。购买专业版",
731,"overarching","","adj. 首要的；支配一切的；包罗万象的
v.  成拱形（overarch的ing形式）",
732,"overhear","英:/əʊvə'hɪə/ 美:/ˌovɚ'hɪr/","该版本不支持扩展词库。购买专业版",
733,"overlap","英:/əʊvə'læp/ 美:/'ovəlæp/","该版本不支持扩展词库。购买专业版",
734,"overstate","英:/əʊvə'steɪt/ 美:/ˌovɚ'stet/","vt. 夸大(某事)

时 态:  
overstated, overstating, overstates 

名 词:  
overstatement",
735,"overwhelming","英:/ˌəuvəˈhwelmiŋ/ 美:/ˌovɚˈhwɛlmɪŋ/","adj. 势不可挡的，压倒一切的；巨大的

副 词:  
overwhelmingly",
736,"oxide","英:/'ɒksaɪd/ 美:/'ɑksaɪd/","该版本不支持扩展词库。购买专业版",
737,"paginate","英:/'pædʒɪneɪt/ 美:/'pædʒə'net/","该版本不支持扩展词库。购买专业版",
738,"pain","英:/peɪn/ 美:/pen/","该版本不支持扩展词库。购买专业版",
739,"pairwise","/'peə,waɪz/","成对[双]地,两个两个地",
740,"paleolithic","英:/ˌpeɪli:əˈlɪθɪk/ 美:/ˌpeliəˈlɪθɪk/","adj. 旧石器时代的",
741,"paleontologist","英:/ˌpeɪlɪ ɔnˈt ɔləd ʒɪst/ 美:/ˌpelɪɑn'tɑlədʒɪst/","n. 古生物学者",
742,"palindrome","英:/'pælɪndrəʊm/ 美:/'pælɪn'drom/","该版本不支持扩展词库。购买专业版",
743,"pane","英:/peɪn/ 美:/pen/","该版本不支持扩展词库。购买专业版",
744,"papacy","英:/'peɪpəsɪ/ 美:/'pepəsi/","该版本不支持扩展词库。购买专业版",
745,"parade","英:/pə'reɪd/ 美:/pəˈreɪd/","该版本不支持扩展词库。购买专业版",
746,"parametrize","/pə'ræmətraɪz/","vt. 确定…的参数,用参数表示",
747,"pardon","英:/'pɑːd(ə)n/ 美:/'pɑrdn/","该版本不支持扩展词库。购买专业版",
748,"parent","英:/'peər(ə)nt/ 美:/'pɛrənt/","该版本不支持扩展词库。购买专业版",
749,"parental","英:/pə'rentl/ 美:/pə'rɛntl/","该版本不支持扩展词库。购买专业版",
750,"parenthesis","英:/pə'renθɪsɪs/ 美:/pə'rɛnθəsɪs/","- n. 插入语,插入成分
- 圆括号
- 间歇,插曲",
751,"parity","英:/'pærɪtɪ/ 美:/'pærəti/","该版本不支持扩展词库。购买专业版",
752,"parties","/'pɑ:ti/","n. 当事人；聚会；党派；政党机关；同行者（party的复数）",
753,"pasture","英:/'pɑːstʃə/ 美:/'pæstʃɚ/","该版本不支持扩展词库。购买专业版",
754,"pathogen","英:/'pæθədʒ(ə)n/ 美:/'pæθədʒən/","该版本不支持扩展词库。购买专业版",
755,"pathology","英:/pə'θɒlədʒɪ/ 美:/pə'θɑlədʒi/","- n. 病理(学)
- n. 病理学家

名 词:  
pathologist",
756,"patronize","英:/ˈpætrənaiz/ 美:/'petrənaɪz/","- vt. 以高人一等的态度对待
- 光顾, 惠顾

时 态:  
patronized, patronizing, patronizes",
757,"pearl","英:/pɜːl/ 美:/pɝl/","该版本不支持扩展词库。购买专业版",
758,"pediatric","/ˌpi:di'ætrik/","adj. 小儿科的",
759,"peek","英:/piːk/ 美:/pik/","该版本不支持扩展词库。购买专业版",
760,"penalize","英:/ˈpi:nəlaiz/ 美:/'pinəlaɪz/","该版本不支持扩展词库。购买专业版",
761,"penguin","英:/'peŋgwɪn/ 美:/'pɛŋɡwɪn/","该版本不支持扩展词库。购买专业版",
762,"peon","英:/'piːən/ 美:/'piən/","该版本不支持扩展词库。购买专业版",
763,"percolating","/'pɝkə,let/","n. 渗透",
764,"period","英:/'pɪərɪəd/ 美:/'pɪrɪəd/","该版本不支持扩展词库。购买专业版",
765,"permanent","英:/'pɜːm(ə)nənt/ 美:/'pɝmənənt/","adj. 永久(性)的, 固定的

副 词:  
permanently",
766,"permeate","英:/'pɜːmɪeɪt/ 美:/'pɝmɪet/","该版本不支持扩展词库。购买专业版",
767,"perpetual","英:/pə'petʃʊəl/ 美:/pɚ'pɛtʃuəl/","- adj. 永久的; 终身的
- 不断的; 常发生的

副 词:  
perpetually",
768,"perplex","英:/pə'pleks/ 美:/pɚ'plɛks/","该版本不支持扩展词库。购买专业版",
769,"perseverance","英:/pɜːsɪ'vɪər(ə)ns/ 美:/ˌpɝsə'vɪrəns/","该版本不支持扩展词库。购买专业版",
770,"perspective","英:/pə'spektɪv/ 美:/pɚ'spɛktɪv/","- n. 远景，景
- 前途；希望
- 透视
- 透视图
- 观点，想法

副 词:  
perspectively",
771,"pertinent","英:/'pɜːtɪnənt/ 美:/'pɝtnənt/","adj. 有关的; 中肯的; 恰当的

副 词:  
pertinently",
772,"perturb","英:/pə'tɜːb/ 美:/pɚ'tɝb/","该版本不支持扩展词库。购买专业版",
773,"pharmacy","英:/'fɑ:məsi/ 美:/ˈfɑrməsi/","该版本不支持扩展词库。购买专业版",
774,"phenomenon","英:/fɪ'nɒmɪnən/ 美:/fə'nɑmɪnən/","- n. 现象
- 特殊的人[事物]

复 数: 
phenomena",
775,"photography","英:/fə'tɒgrəfɪ/ 美:/fə'tɑɡrəfi/","n. 摄影术",
776,"piecemeal","英:/'piːsmiːl/ 美:/'pismil/","- adv. 一块一块地;一件一件地;零碎地
- adj. 一块一块的;一件一件的;零碎的",
777,"pilot","英:/'paɪlət/ 美:/'paɪlət/","该版本不支持扩展词库。购买专业版",
778,"pinch","英:/pɪn(t)ʃ/ 美:/pɪntʃ/","该版本不支持扩展词库。购买专业版",
779,"pit","英:/pɪt/ 美:/pɪt/","该版本不支持扩展词库。购买专业版",
780,"pitch","英:/pɪtʃ/ 美:/pɪtʃ/","该版本不支持扩展词库。购买专业版",
781,"pitted","英:/'pɪtɪd/ 美:/'pɪtɪd/","该版本不支持扩展词库。购买专业版",
782,"pivot","英:/'pɪvət/ 美:/'pɪvət/","该版本不支持扩展词库。购买专业版",
783,"plagiarism","英:/'pleɪdʒərɪz(ə)m/ 美:/'pledʒə'rɪzəm/","- n. 剽窃,抄袭
- 剽窃物,抄袭物

名 词:  
plagiarist

形容词:  
plagiaristic",
784,"plain","英:/pleɪn/ 美:/plen/","该版本不支持扩展词库。购买专业版",
785,"plant","英:/plɑːnt/ 美:/plænt/","该版本不支持扩展词库。购买专业版",
786,"plasma physics","","该版本不支持扩展词库。购买专业版",
787,"plate","英:/pleɪt/ 美:/plet/","该版本不支持扩展词库。购买专业版",
788,"Plato","/'pleitəu/","该版本不支持扩展词库。购买专业版",
789,"Platon","","n. 普拉登（姓氏）",
790,"Platonist","/'pleitənist/","n. 柏拉图学派的人",
791,"play","英:/pleɪ/ 美:/ple/","该版本不支持扩展词库。购买专业版",
792,"pledge","英:/pledʒ/ 美:/plɛdʒ/","该版本不支持扩展词库。购买专业版",
793,"plunge","英:/plʌn(d)ʒ/ 美:/plʌndʒ/","该版本不支持扩展词库。购买专业版",
794,"plunging","/'plʌndʒɪŋ/","adj. 跳进的,突进的",
795,"plush","英:/plʌʃ/ 美:/plʌʃ/","该版本不支持扩展词库。购买专业版",
796,"pocket","英:/'pɒkɪt/ 美:/'pɑkɪt/","该版本不支持扩展词库。购买专业版",
797,"polish","英:/ˈpɒlɪʃ/ 美:/ˈpɑlɪʃ/","该版本不支持扩展词库。购买专业版",
798,"ponderous","英:/'pɒnd(ə)rəs/ 美:/'pɑndərəs/","- adj. 沉重的，笨重的
- 呆板的；沉闷的",
799,"popularization","/ˌpɔpjulərai'zeiʃən/","n. 普及",
800,"popularize","英:/ˈpɔpjələˌraɪz/ 美:/'pɑpjələraɪz/","- vt. 使受欢迎，使有名望
- 普及，推广
- 使通俗化；使易懂

时 态:  
popularized，popularizing，popularizes 

名 词:  
popularization

名 词:  
popularizer",
801,"porch","英:/pɔːtʃ/ 美:/pɔrtʃ/","该版本不支持扩展词库。购买专业版",
802,"pore","英:/pɔː/ 美:/pɔr/","该版本不支持扩展词库。购买专业版",
803,"pork","英:/pɔːk/ 美:/pɔrk/","该版本不支持扩展词库。购买专业版",
804,"porosity","英:/pɔː'rɒsɪtɪ/ 美:/pɔ'rɑsəti/","该版本不支持扩展词库。购买专业版",
805,"porridge","英:/'pɒrɪdʒ/ 美:/'pɔrɪdʒ/","该版本不支持扩展词库。购买专业版",
806,"portmanteau","英:/pɔːt'mæntəʊ/ 美:/ˌpot'mænto/","n. 旅行皮箱,混成词",
807,"possess","英:/pə'zes/ 美:/pə'zɛs/","该版本不支持扩展词库。购买专业版",
808,"possessive","英:/pə'zesɪv/ 美:/pə'zɛsɪv/","- adj. 所有(权)的；不愿分享的
- 所属关系的，所有格的
- n. 表示所属关系的词或词语形式
- adv. 占有地；所属关系地
- n. 占有，占有欲
- 所有格形容词",
809,"postpone","英:/pəʊs(t)'pəʊn/ 美:/po'spon/","该版本不支持扩展词库。购买专业版",
810,"postprocessing","/pəust,prəu'sesiŋ/","n. 后加工",
811,"pot","英:/pɒt/ 美:/pɑt/","该版本不支持扩展词库。购买专业版",
812,"potential","英:/pə(ʊ)'tenʃ(ə)l/ 美:/pə'tɛnʃl/","adj. 潜在的, 有可能的
n. 潜力；电位；电势；可能性

副 词:  
potentially",
813,"pound","英:/paʊnd/ 美:/paʊnd/","该版本不支持扩展词库。购买专业版",
814,"preach","英:/priːtʃ/ 美:/pritʃ/","该版本不支持扩展词库。购买专业版",
815,"precept","英:/'priːsept/ 美:/'prisɛpt/","该版本不支持扩展词库。购买专业版",
816,"predate","英:/priː'deɪt/ 美:/pri'det/","该版本不支持扩展词库。购买专业版",
817,"predicate","英:/'predɪkət/ 美:/'prɛdɪkət/","- vt. 断言；断定
- n. 谓语

时 态:  
predicated, predicating, predicates 

名 词:  
predication

形容词:  
predicative

副 词:  
predicatively",
818,"prejudice","英:/'predʒʊdɪs/ 美:/'prɛdʒədɪs/","- n. 成见, 偏见, 歧视
- vt. 使有偏见
- 不利于, 损害

时 态:  
prejudiced, prejudicing, prejudices",
819,"preliminary","英:/prɪ'lɪmɪn(ə)rɪ/ 美:/prɪ'lɪmɪnɛri/","- adj. 初步的, 预备的, 开端的
- n. 准备工作, 初步行动",
820,"preposition","英:/ˌprepə'zɪʃ(ə)n/ 美:/ˌprɛpə'zɪʃən/","n. 介词

时 态:  
prepositioned, prepositioning, prepositions",
821,"prerogative","英:/prɪ'rɒgətɪv/ 美:/prɪˈrɑɡətɪv/","- n. 权利,特权
- 大主教法庭
- 总督委任组成的法庭",
822,"prescription","英:/prɪ'skrɪpʃ(ə)n/ 美:/prɪ'skrɪpʃən/","- n. 药, 治疗方法
- 处方, 药方
- 开处方, 开药",
823,"presidency","英:/'prezɪd(ə)nsɪ/ 美:/'prɛzɪdənsi/","- n. 总统的职位
- 总统的任期",
824,"press","英:/pres/ 美:/prɛs/","该版本不支持扩展词库。购买专业版",
825,"prevail","英:/prɪ'veɪl/ 美:/pri'vel/","该版本不支持扩展词库。购买专业版",
826,"prevalent","英:/'prev(ə)l(ə)nt/ 美:/'prɛvələnt/","adj. 普遍的, 盛行的, 流行的",
827,"privilege","英:/'prɪvɪlɪdʒ/ 美:/'prɪvlɪdʒ/","- n. 特权；优待

- vt.给予…特权；特免

时 态:  
privileged, privileging, privileges",
828,"process","英:/'prəʊses/ 美:/'prɑsɛs/","该版本不支持扩展词库。购买专业版",
829,"produce","英:/prə'djuːs/ 美:/prə'dus/","该版本不支持扩展词库。购买专业版",
830,"proficient","英:/prə'fɪʃ(ə)nt/ 美:/prə'fɪʃnt/","adj. 精通的, 熟练的",
831,"projection","英:/prə'dʒekʃ(ə)n/ 美:/prə'dʒɛkʃən/","- n. 投掷,发射,喷射
- 投影,投影图
- 预测；推断；设想
- (电影)放映室",
832,"promise","英:/'prɒmɪs/ 美:/'prɑmɪs/","该版本不支持扩展词库。购买专业版",
833,"promotional","英:/prəˈməuʃənl/ 美:/prə'moʃənl/","adj. 促销的",
834,"propagate","英:/'prɒpəgeɪt/ 美:/'prɑpə'get/","- vt. & vi. 繁衍，增殖
- vt. 传播；宣传，普及

时 态:  
propagated，propagating，propagates 

形容词:  
propagable

名 词:  
propagator",
835,"Proprietary","英:/prə'praɪət(ə)rɪ/ 美:/prə'praɪətɛri/","控股公司
proprietary
- adj. 私有的
- 专利的, 有专利权的, 独占的
- 业主的",
836,"prospectors","","Free Dictionary在线词典
韦氏在线词典
必应在线词典
柯林斯在线词典
Urban Dictionary
剑桥词典
Dictionary.com在线词典
朗文当代英语在线词典
Ox Living Dict


点击管理在线词典",
837,"pry","英:/praɪ/ 美:/praɪ/","该版本不支持扩展词库。购买专业版",
